SKU,销售额,产品成本,广告花费,平台及物流费,退款金额,利润,毛利率
A001,58705.32,17616.0,7178.9800000000005,15850.436399999999,1799.59,16260.313600000005,0.27698194303344237
A002,49485.0,13500.0,5946.129999999999,13360.95,1438.2799999999997,15239.640000000003,0.3079648378296454
A003,37410.030000000006,10479.0,4375.23,10100.708100000002,1041.08,11414.011900000003,0.3051056601665383
A004,12073.960000000001,3624.0,1441.7500000000005,3259.9692,358.79999999999995,3389.4408000000017,0.2807232092867627
A005,7936.889999999999,2138.5,936.8999999999999,2142.9602999999997,246.12,2472.4097000000006,0.31150862617473607
A006,13679.05,4165.0,1682.9200000000005,3693.3434999999995,400.45,3737.3364999999985,0.2732160859123988
A007,10244.970000000001,3015.0,1217.2299999999998,2766.1419000000005,320.36,2926.238100000001,0.2856268100345829
A008,26091.300000000003,8700.0,3192.14,7044.651,868.01,6286.499000000005,0.24094234476626325
A009,7409.819999999999,1854.0,886.2499999999999,2000.6513999999995,235.96,2432.958599999999,0.3283424698575673
A010,9514.050000000001,2677.5,1151.3700000000001,2568.7935,278.67999999999995,2837.7065000000007,0.2982648293839112
A011,20096.649999999998,7370.0,4115.329999999999,5426.095499999999,595.7099999999998,2589.5145000000007,0.12885304267129102
A012,15452.640000000003,5376.0,3191.7299999999996,4172.2128,485.0400000000001,2227.6572000000024,0.14416029882272557
A013,12164.620000000003,4056.0,2476.13,3284.447400000001,406.10999999999996,1941.9326000000015,0.15963775276169753
A014,13994.999999999996,4500.0,2424.6,3778.6499999999987,889.1000000000001,2402.649999999997,0.17167917113254716
A015,18790.77,5784.0,2861.2999999999997,5073.5079000000005,549.01,4522.952100000002,0.24070073232762693
A016,17162.079999999998,5328.0,2094.2499999999995,4633.7616,517.61,4588.458399999998,0.26736027334682033
A017,17147.969999999998,4966.5,2046.3600000000001,4629.951899999999,505.55,4999.608099999998,0.29155684900311807
A018,21795.93,7098.0,3678.840000000001,5884.901099999999,1348.5500000000002,3785.6389000000017,0.17368558717155
A019,22945.409999999996,5967.0,2681.4300000000003,6195.260699999999,662.1800000000001,7439.539299999997,0.32422777801747704
A020,25934.37,8393.0,3653.2800000000007,7002.2798999999995,839.6400000000001,6046.1701,0.23313348656628252
