日期,SKU,广告花费,广告销售额,点击,曝光
2026-07-22,A001,254.34,1059.73,318,63600
2026-07-23,A001,211.15,879.78,264,52800
2026-07-24,A001,211.15,879.78,264,52800
2026-07-25,A001,230.34,959.76,288,57600
2026-07-26,A001,239.94,999.75,300,60000
2026-07-27,A001,254.34,1059.73,318,63600
2026-07-28,A001,249.54,1039.74,312,62400
2026-07-29,A001,235.14,979.75,294,58800
2026-07-30,A001,225.54,939.76,282,56400
2026-07-31,A001,268.73,1119.72,336,67200
2026-08-01,A001,235.14,979.75,294,58800
2026-08-02,A001,235.14,979.75,294,58800
2026-08-03,A001,220.74,919.77,276,55200
2026-08-04,A001,259.14,1079.73,324,64800
2026-08-05,A001,249.54,1039.74,312,62400
2026-08-06,A001,225.54,939.76,282,56400
2026-08-07,A001,215.94,899.77,270,54000
2026-08-08,A001,249.54,1039.74,312,62400
2026-08-09,A001,249.54,1039.74,312,62400
2026-08-10,A001,225.54,939.76,282,56400
2026-08-11,A001,263.93,1099.72,330,66000
2026-08-12,A001,220.74,919.77,276,55200
2026-08-13,A001,235.14,979.75,294,58800
2026-08-14,A001,263.93,1099.72,330,66000
2026-08-15,A001,235.14,979.75,294,58800
2026-08-16,A001,249.54,1039.74,312,62400
2026-08-17,A001,235.14,979.75,294,58800
2026-08-18,A001,225.54,939.76,282,56400
2026-08-19,A001,268.73,1119.72,336,67200
2026-08-20,A001,235.14,979.75,294,58800
2026-07-22,A002,217.74,907.23,272,54400
2026-07-23,A002,186.06,775.26,233,46600
2026-07-24,A002,186.06,775.26,233,46600
2026-07-25,A002,174.19,725.78,218,43600
2026-07-26,A002,205.86,857.74,257,51400
2026-07-27,A002,190.02,791.76,238,47600
2026-07-28,A002,213.78,890.73,267,53400
2026-07-29,A002,197.94,824.75,247,49400
2026-07-30,A002,221.69,923.72,277,55400
2026-07-31,A002,182.1,758.77,228,45600
2026-08-01,A002,213.78,890.73,267,53400
2026-08-02,A002,209.82,874.24,262,52400
2026-08-03,A002,209.82,874.24,262,52400
2026-08-04,A002,213.78,890.73,267,53400
2026-08-05,A002,209.82,874.24,262,52400
2026-08-06,A002,205.86,857.74,257,51400
