SKU,当前库存,在途库存,日均销量,安全库存,数据日期,采购周期天,预计到仓日期
A001,1750,500,50,1000,2026-08-20,30,2026-09-19
A002,1750,500,50,1000,2026-08-20,30,2026-09-19
A003,1750,500,50,1000,2026-08-20,30,2026-09-19
A004,800,200,20,400,2026-08-20,25,2026-09-14
A005,800,200,20,400,2026-08-20,25,2026-09-14
A006,800,200,20,400,2026-08-20,25,2026-09-14
A007,800,200,20,400,2026-08-20,25,2026-09-14
A008,360,0,30,450,2026-08-20,35,
A009,800,200,20,400,2026-08-20,25,2026-09-14
A010,800,200,20,400,2026-08-20,25,2026-09-14
A011,200,80,8,120,2026-08-20,30,2026-09-19
A012,200,80,8,120,2026-08-20,30,2026-09-19
A013,200,80,8,120,2026-08-20,30,2026-09-19
A014,810,180,18,360,2026-08-20,25,2026-09-14
A015,1000,250,25,500,2026-08-20,25,2026-09-14
A016,800,200,20,400,2026-08-20,25,2026-09-14
A017,360,0,30,450,2026-08-20,35,
A018,810,180,18,360,2026-08-20,25,2026-09-14
A019,600,150,15,300,2026-08-20,25,2026-09-14
A020,1000,250,25,500,2026-08-20,25,2026-09-14
