SKU,竞品ASIN,竞品名,竞品价格,Rating,Reviews,核心卖点,数据来源,采集日期
A001,B0SIM00001,Competitor X,42.99,4.5,3200,大容量电机,模拟数据（非真实抓取）,2026-08-20
A002,B0SIM00002,Competitor Y,35.99,4.3,1800,静音设计,模拟数据（非真实抓取）,2026-08-20
A003,B0SIM00003,Competitor Z,22.99,4.2,950,无频闪,模拟数据（非真实抓取）,2026-08-20
A004,B0SIM00004,Competitor X,24.99,4.6,5100,加厚防滑,模拟数据（非真实抓取）,2026-08-20
A005,B0SIM00005,Competitor Y,10.99,4.0,700,折叠便携,模拟数据（非真实抓取）,2026-08-20
A006,B0SIM00006,Competitor Z,25.99,4.7,6800,24h保温,模拟数据（非真实抓取）,2026-08-20
A007,B0SIM00007,Competitor X,19.99,4.1,1100,多格收纳,模拟数据（非真实抓取）,2026-08-20
A008,B0SIM00008,Competitor Y,34.99,4.4,2400,快充15W,模拟数据（非真实抓取）,2026-08-20
A009,B0SIM00009,Competitor Z,9.99,4.0,400,可重复使用,模拟数据（非真实抓取）,2026-08-20
A010,B0SIM00010,Competitor X,18.99,4.5,3900,多阻力级别,模拟数据（非真实抓取）,2026-08-20
A011,B0SIM00011,Competitor Y,69.99,4.2,620,2K画质,模拟数据（非真实抓取）,2026-08-20
A012,B0SIM00012,Competitor Z,49.99,4.3,1500,大吸力,模拟数据（非真实抓取）,2026-08-20
A013,B0SIM00013,Competitor X,39.99,4.1,800,负离子护发,模拟数据（非真实抓取）,2026-08-20
A014,B0SIM00014,Competitor Y,24.99,4.4,2600,陶瓷磨芯,模拟数据（非真实抓取）,2026-08-20
A015,B0SIM00015,Competitor Z,29.99,4.6,4500,铝合金散热,模拟数据（非真实抓取）,2026-08-20
A016,B0SIM00016,Competitor X,32.99,4.3,1300,专业修剪,模拟数据（非真实抓取）,2026-08-20
A017,B0SIM00017,Competitor Y,16.99,4.0,900,防水太阳能,模拟数据（非真实抓取）,2026-08-20
A018,B0SIM00018,Competitor Z,45.99,4.2,2000,多模式按摩,模拟数据（非真实抓取）,2026-08-20
A019,B0SIM00019,Competitor X,55.99,4.7,7800,大容量防盗,模拟数据（非真实抓取）,2026-08-20
A020,B0SIM00020,Competitor Y,36.99,4.4,3100,快速烧水,模拟数据（非真实抓取）,2026-08-20
