日期,SKU,订单量,Session,销售额,退款金额
2026-07-22,A001,48,533,1919.52,83.54
2026-07-23,A001,53,589,2119.47,69.86
2026-07-24,A001,46,511,1839.54,36.2
2026-07-25,A001,45,500,1799.55,73.76
2026-07-26,A001,51,567,2039.49,73.92
2026-07-27,A001,44,489,1759.56,77.59
2026-07-28,A001,54,600,2159.46,46.15
2026-07-29,A001,46,511,1839.54,37.71
2026-07-30,A001,48,533,1919.52,59.01
2026-07-31,A001,49,544,1959.51,46.51
2026-08-01,A001,51,567,2039.49,39.13
2026-08-02,A001,48,533,1919.52,49.89
2026-08-03,A001,49,544,1959.51,75.55
2026-08-04,A001,46,511,1839.54,55.97
2026-08-05,A001,51,567,2039.49,33.43
2026-08-06,A001,51,567,2039.49,41.03
2026-08-07,A001,45,500,1799.55,78.22
2026-08-08,A001,56,622,2239.44,87.9
2026-08-09,A001,48,533,1919.52,34.42
2026-08-10,A001,52,578,2079.48,58.65
2026-08-11,A001,45,500,1799.55,53.73
2026-08-12,A001,44,489,1759.56,74.39
2026-08-13,A001,47,522,1879.53,65.55
2026-08-14,A001,48,533,1919.52,58.74
2026-08-15,A001,51,567,2039.49,41.9
2026-08-16,A001,56,622,2239.44,85.67
2026-08-17,A001,55,611,2199.45,92.04
2026-08-18,A001,51,567,2039.49,87.0
2026-08-19,A001,45,500,1799.55,37.57
2026-08-20,A001,45,500,1799.55,44.56
2026-07-22,A002,49,544,1616.51,37.41
2026-07-23,A002,54,600,1781.46,45.79
2026-07-24,A002,47,522,1550.53,48.5
2026-07-25,A002,46,511,1517.54,59.28
2026-07-26,A002,45,500,1484.55,66.22
2026-07-27,A002,53,589,1748.47,36.65
2026-07-28,A002,44,489,1451.56,57.28
2026-07-29,A002,52,578,1715.48,63.25
2026-07-30,A002,53,589,1748.47,30.11
2026-07-31,A002,48,533,1583.52,29.26
2026-08-01,A002,54,600,1781.46,60.03
2026-08-02,A002,48,533,1583.52,26.77
2026-08-03,A002,48,533,1583.52,39.2
2026-08-04,A002,53,589,1748.47,59.67
2026-08-05,A002,55,611,1814.45,52.92
2026-08-06,A002,45,500,1484.55,54.03
2026-08-07,A002,53,589,1748.47,55.67
2026-08-08,A002,53,589,1748.47,52.13
2026-08-09,A002,50,556,1649.5,45.9
2026-08-10,A002,44,489,1451.56,26.47
2026-08-11,A002,44,489,1451.56,49.49
2026-08-12,A002,48,533,1583.52,47.91
2026-08-13,A002,55,611,1814.45,40.79
2026-08-14,A002,49,544,1616.51,60.89
2026-08-15,A002,47,522,1550.53,26.84
2026-08-16,A002,47,522,1550.53,30.76
2026-08-17,A002,55,611,1814.45,71.21
2026-08-18,A002,52,578,1715.48,70.58
2026-08-19,A002,54,600,1781.46,36.69
2026-08-20,A002,55,611,1814.45,56.58
2026-07-22,A003,54,600,1349.46,56.52
2026-07-23,A003,48,533,1199.52,21.95
2026-07-24,A003,47,522,1174.53,32.67
2026-07-25,A003,54,600,1349.46,55.09
2026-07-26,A003,44,489,1099.56,33.34
2026-07-27,A003,49,544,1224.51,26.53
2026-07-28,A003,45,500,1124.55,28.26
2026-07-29,A003,55,611,1374.45,33.94
2026-07-30,A003,50,556,1249.5,45.1
2026-07-31,A003,48,533,1199.52,52.96
2026-08-01,A003,56,622,1399.44,31.56
2026-08-02,A003,50,556,1249.5,30.02
2026-08-03,A003,47,522,1174.53,18.92
2026-08-04,A003,51,567,1274.49,38.34
2026-08-05,A003,45,500,1124.55,26.27
2026-08-06,A003,55,611,1374.45,30.49
2026-08-07,A003,46,511,1149.54,34.12
2026-08-08,A003,56,622,1399.44,31.15
2026-08-09,A003,52,578,1299.48,49.18
2026-08-10,A003,47,522,1174.53,43.28
2026-08-11,A003,48,533,1199.52,40.75
2026-08-12,A003,52,578,1299.48,40.38
2026-08-13,A003,45,500,1124.55,45.05
2026-08-14,A003,48,533,1199.52,24.7
2026-08-15,A003,44,489,1099.56,35.99
2026-08-16,A003,52,578,1299.48,20.14
2026-08-17,A003,50,556,1249.5,27.23
2026-08-18,A003,52,578,1299.48,26.29
2026-08-19,A003,52,578,1299.48,34.57
2026-08-20,A003,55,611,1374.45,26.29
2026-07-22,A004,19,211,379.81,6.99
2026-07-23,A004,22,244,439.78,18.17
2026-07-24,A004,19,211,379.81,13.22
2026-07-25,A004,22,244,439.78,13.92
2026-07-26,A004,20,222,399.8,8.9
2026-07-27,A004,18,200,359.82,15.08
2026-07-28,A004,22,244,439.78,14.95
2026-07-29,A004,19,211,379.81,9.68
2026-07-30,A004,21,233,419.79,17.59
2026-07-31,A004,22,244,439.78,16.89
2026-08-01,A004,21,233,419.79,7.36
2026-08-02,A004,18,200,359.82,15.1
2026-08-03,A004,21,233,419.79,6.41
2026-08-04,A004,18,200,359.82,12.56
2026-08-05,A004,18,200,359.82,7.13
2026-08-06,A004,20,222,399.8,14.3
2026-08-07,A004,21,233,419.79,9.12
2026-08-08,A004,21,233,419.79,9.28
2026-08-09,A004,19,211,379.81,14.2
2026-08-10,A004,21,233,419.79,16.99
2026-08-11,A004,21,233,419.79,13.45
2026-08-12,A004,18,200,359.82,9.37
2026-08-13,A004,19,211,379.81,8.48
2026-08-14,A004,22,244,439.78,11.78
2026-08-15,A004,22,244,439.78,14.92
2026-08-16,A004,21,233,419.79,12.63
2026-08-17,A004,20,222,399.8,11.9
2026-08-18,A004,19,211,379.81,13.93
2026-08-19,A004,19,211,379.81,5.97
2026-08-20,A004,21,233,419.79,8.53
2026-07-22,A005,22,244,285.78,12.47
2026-07-23,A005,22,244,285.78,7.46
2026-07-24,A005,18,200,233.82,10.02
2026-07-25,A005,20,222,259.8,11.43
2026-07-26,A005,22,244,285.78,11.6
2026-07-27,A005,19,211,246.81,6.55
2026-07-28,A005,22,244,285.78,7.0
2026-07-29,A005,18,200,233.82,7.41
2026-07-30,A005,22,244,285.78,10.25
2026-07-31,A005,20,222,259.8,4.65
2026-08-01,A005,21,233,272.79,12.19
2026-08-02,A005,18,200,233.82,7.14
2026-08-03,A005,22,244,285.78,10.64
2026-08-04,A005,21,233,272.79,9.84
2026-08-05,A005,19,211,246.81,5.88
2026-08-06,A005,21,233,272.79,10.72
2026-08-07,A005,22,244,285.78,12.12
2026-08-08,A005,20,222,259.8,7.81
2026-08-09,A005,21,233,272.79,9.41
2026-08-10,A005,21,233,272.79,10.6
2026-08-11,A005,22,244,285.78,7.18
2026-08-12,A005,19,211,246.81,4.4
2026-08-13,A005,20,222,259.8,4.18
2026-08-14,A005,20,222,259.8,8.13
2026-08-15,A005,19,211,246.81,8.08
2026-08-16,A005,18,200,233.82,3.77
2026-08-17,A005,22,244,285.78,7.37
2026-08-18,A005,18,200,233.82,7.17
2026-08-19,A005,21,233,272.79,5.86
2026-08-20,A005,21,233,272.79,4.79
2026-07-22,A006,18,200,413.82,12.8
2026-07-23,A006,20,222,459.8,15.69
2026-07-24,A006,21,233,482.79,21.38
2026-07-25,A006,20,222,459.8,11.35
2026-07-26,A006,21,233,482.79,11.16
2026-07-27,A006,20,222,459.8,7.98
2026-07-28,A006,18,200,413.82,18.16
2026-07-29,A006,22,244,505.78,18.15
2026-07-30,A006,20,222,459.8,9.29
2026-07-31,A006,18,200,413.82,9.31
2026-08-01,A006,20,222,459.8,16.75
2026-08-02,A006,21,233,482.79,11.3
2026-08-03,A006,22,244,505.78,18.78
2026-08-04,A006,20,222,459.8,15.34
2026-08-05,A006,20,222,459.8,10.31
2026-08-06,A006,19,211,436.81,16.48
2026-08-07,A006,18,200,413.82,7.65
2026-08-08,A006,18,200,413.82,6.71
2026-08-09,A006,22,244,505.78,18.26
2026-08-10,A006,20,222,459.8,8.25
2026-08-11,A006,20,222,459.8,13.43
2026-08-12,A006,18,200,413.82,11.59
2026-08-13,A006,20,222,459.8,15.39
2026-08-14,A006,21,233,482.79,7.9
2026-08-15,A006,19,211,436.81,14.75
2026-08-16,A006,20,222,459.8,18.71
2026-08-17,A006,21,233,482.79,9.6
2026-08-18,A006,18,200,413.82,14.18
2026-08-19,A006,18,200,413.82,13.48
2026-08-20,A006,22,244,505.78,16.32
2026-07-22,A007,19,211,322.81,11.07
2026-07-23,A007,20,222,339.8,10.66
2026-07-24,A007,22,244,373.78,9.94
2026-07-25,A007,22,244,373.78,15.76
2026-07-26,A007,19,211,322.81,5.51
2026-07-27,A007,18,200,305.82,4.75
2026-07-28,A007,18,200,305.82,10.85
2026-07-29,A007,18,200,305.82,7.51
2026-07-30,A007,22,244,373.78,5.87
2026-07-31,A007,22,244,373.78,8.77
2026-08-01,A007,18,200,305.82,10.98
2026-08-02,A007,21,233,356.79,14.74
2026-08-03,A007,21,233,356.79,13.95
2026-08-04,A007,19,211,322.81,6.56
2026-08-05,A007,21,233,356.79,13.99
2026-08-06,A007,22,244,373.78,10.23
2026-08-07,A007,19,211,322.81,12.36
2026-08-08,A007,19,211,322.81,13.86
2026-08-09,A007,22,244,373.78,10.42
2026-08-10,A007,21,233,356.79,13.43
2026-08-11,A007,18,200,305.82,12.87
2026-08-12,A007,20,222,339.8,13.52
2026-08-13,A007,19,211,322.81,13.51
2026-08-14,A007,19,211,322.81,4.95
2026-08-15,A007,22,244,373.78,6.63
2026-08-16,A007,19,211,322.81,14.04
2026-08-17,A007,22,244,373.78,12.04
2026-08-18,A007,21,233,356.79,10.15
2026-08-19,A007,19,211,322.81,8.03
2026-08-20,A007,21,233,356.79,13.41
2026-07-22,A008,32,356,959.68,37.13
2026-07-23,A008,27,300,809.73,24.16
2026-07-24,A008,27,300,809.73,25.5
2026-07-25,A008,30,333,899.7,37.46
2026-07-26,A008,29,322,869.71,16.1
2026-07-27,A008,27,300,809.73,30.64
2026-07-28,A008,31,344,929.69,16.77
2026-07-29,A008,27,300,809.73,29.17
2026-07-30,A008,27,300,809.73,32.11
2026-07-31,A008,31,344,929.69,16.21
2026-08-01,A008,27,300,809.73,36.11
2026-08-02,A008,29,322,869.71,22.72
2026-08-03,A008,32,356,959.68,41.67
2026-08-04,A008,33,367,989.67,37.21
2026-08-05,A008,29,322,869.71,15.22
2026-08-06,A008,32,356,959.68,30.47
2026-08-07,A008,29,322,869.71,36.69
2026-08-08,A008,27,300,809.73,24.11
2026-08-09,A008,26,289,779.74,22.66
2026-08-10,A008,27,300,809.73,15.03
2026-08-11,A008,27,300,809.73,27.92
2026-08-12,A008,32,356,959.68,31.19
2026-08-13,A008,33,367,989.67,25.97
2026-08-14,A008,28,311,839.72,34.48
2026-08-15,A008,28,311,839.72,36.86
2026-08-16,A008,26,289,779.74,34.38
